TRANSACTION_ID,TRANSACTION_VALUE,TRANSACTION_TYPE,BRANCH_CODE,CUST_SSN,TIMEID,CUST_CC_NO
1,78.90,Education,114,123459988,20180214,4210653349028689
2,14.24,Entertainment,35,123459988,20180320,4210653349028689
3,56.70,Grocery,160,123459988,20180708,4210653349028689
4,59.73,Entertainment,114,123459988,20180419,4210653349028689
5,3.59,Gas,93,123459988,20181010,4210653349028689
6,6.89,Education,164,123459988,20180528,4210653349028689
7,43.39,Entertainment,119,123459988,20180519,4210653349028689
8,95.39,Gas,23,123459988,20180808,4210653349028689
9,93.26,Entertainment,166,123459988,20180318,4210653349028689
10,100.38,Bills,83,123459988,20180903,4210653349028689
11,98.75,Gas,52,123459988,20180821,4210653349028689
12,42.71,Gas,17,123459988,20181224,4210653349028689
13,40.24,Grocery,80,123459988,20180403,4210653349028689
14,17.81,Bills,50,123459988,20180415,4210653349028689
15,29.00,Bills,123,123459988,20180517,4210653349028689
16,70.63,Test,9,123459988,20180706,4210653349028689
17,27.04,Test,3,123459988,20180928,4210653349028689
18,88.75,Entertainment,135,123459988,20180704,4210653349028689
19,77.02,Test,103,123459988,20180424,4210653349028689
20,34.34,Bills,78,123459988,20181008,4210653349028689
21,10.56,Education,156,123459988,20181023,4210653349028689
22,6.70,Education,20,123459988,20180813,4210653349028689
23,7.97,Bills,44,123459988,20180317,4210653349028689
24,32.81,Test,54,123459988,20180511,4210653349028689
25,35.02,Entertainment,119,123459988,20180303,4210653349028689
26,86.30,Test,121,123459988,20180511,4210653349028689
27,82.05,Test,19,123459988,20181214,4210653349028689
28,98.78,Healthcare,43,123459988,20180806,4210653349028689
29,9.49,Grocery,7,123459988,20181014,4210653349028689
30,17.03,Gas,29,123459988,20181204,4210653349028689
31,54.49,Grocery,123,123459988,20181024,4210653349028689
32,13.34,Education,66,123459988,20181212,4210653349028689
33,24.37,Healthcare,117,123459988,20181020,4210653349028689
34,53.03,Entertainment,72,123459988,20181109,4210653349028689
35,96.55,Test,95,123459988,20180909,4210653349028689
36,62.82,Education,32,123459988,20180928,4210653349028689
37,73.99,Education,104,123459988,20180412,4210653349028689
38,63.08,Education,158,123459988,20180906,4210653349028689
39,46.84,Entertainment,70,123459988,20181005,4210653349028689
40,96.29,Entertainment,69,123459988,20180116,4210653349028689
41,25.01,Education,26,123459988,20180307,4210653349028689
42,30.95,Bills,27,123459988,20181120,4210653349028689
43,83.33,Gas,79,123459988,20180604,4210653349028689
44,79.91,Healthcare,36,123459988,20181113,4210653349028689
45,20.81,Healthcare,124,123459988,20180908,4210653349028689
46,4.95,Bills,104,123459988,20180121,4210653349028689
47,41.62,Grocery,50,123459988,20180428,4210653349028689
48,3.79,Education,20,123459988,20180512,4210653349028689
49,26.34,Healthcare,69,123459988,20180826,4210653349028689
50,53.49,Entertainment,76,123459988,20180102,4210653349028689
51,73.45,Gas,93,123459988,20180304,4210653349028689
52,15.89,Entertainment,80,123459988,20181209,4210653349028689
53,16.99,Grocery,43,123459988,20180414,4210653349028689
54,31.87,Healthcare,59,123459988,20180203,4210653349028689
55,30.58,Healthcare,158,123459988,20181221,4210653349028689
56,4.19,Grocery,27,123459988,20180111,4210653349028689
57,1.32,Bills,126,123459988,20181127,4210653349028689
58,13.72,Bills,59,123459988,20180809,4210653349028689
59,45.55,Healthcare,156,123459988,20180316,4210653349028689
60,72.17,Entertainment,74,123459988,20180624,4210653349028689
61,84.13,Gas,70,123459988,20180922,4210653349028689
62,51.91,Test,123,123459988,20180320,4210653349028689
63,43.08,Education,121,123459988,20181222,4210653349028689
64,89.81,Healthcare,60,123459988,20180918,4210653349028689
65,56.84,Grocery,31,123459988,20180125,4210653349028689
66,82.11,Education,63,123459988,20180811,4210653349028689
67,35.29,Gas,63,123459988,20181025,4210653349028689
68,46.53,Entertainment,27,123459988,20180215,4210653349028689
69,93.20,Test,31,123459988,20180607,4210653349028689
70,61.40,Grocery,139,123459988,20180427,4210653349028689
71,87.58,Bills,9,123459988,20180612,4210653349028689
72,8.08,Education,48,123459988,20180717,4210653349028689
73,92.84,Entertainment,145,123459988,20180307,4210653349028689
74,45.93,Bills,144,123459988,20180327,4210653349028689
75,38.07,Gas,42,123459988,20181218,4210653349028689
76,51.93,Gas,49,123459988,20180316,4210653349028689
77,53.03,Bills,1,123459988,20181128,4210653349028689
78,31.89,Education,73,123459988,20180414,4210653349028689
79,66.48,Gas,53,123459988,20180613,4210653349028689
80,92.47,Education,43,123459988,20181025,4210653349028689
81,81.40,Entertainment,99,123459988,20180315,4210653349028689
82,97.98,Healthcare,89,123459988,20180224,4210653349028689
83,55.40,Bills,17,123459988,20180304,4210653349028689
84,70.25,Bills,79,123459988,20180925,4210653349028689
85,60.90,Healthcare,32,123459988,20181111,4210653349028689
86,7.62,Bills,109,123459988,20181105,4210653349028689
87,12.43,Test,175,123459988,20180206,4210653349028689
88,17.12,Test,175,123459988,20180825,4210653349028689
89,57.52,Grocery,118,123459988,20180712,4210653349028689
90,91.20,Education,11,123459988,20180202,4210653349028689
91,97.64,Entertainment,59,123459988,20180901,4210653349028689
92,58.25,Education,66,123459988,20180803,4210653349028689
93,41.06,Gas,99,123459988,20180702,4210653349028689
94,72.72,Bills,50,123459988,20180709,4210653349028689
95,77.17,Entertainment,117,123459978,20180708,4210653399308769
96,49.14,Gas,121,123459978,20181021,4210653399308769
97,81.60,Entertainment,117,123459978,20180713,4210653399308769
98,22.75,Entertainment,9,123459978,20181206,4210653399308769
99,56.52,Grocery,59,123459978,20180301,4210653399308769
100,24.05,Education,117,123459978,20180817,4210653399308769
101,66.05,Healthcare,57,123459978,20180820,4210653399308769
102,42.37,Education,192,123459978,20180903,4210653399308769
103,96.44,Grocery,11,123459978,20180113,4210653399308769
104,74.83,Healthcare,75,123459978,20180904,4210653399308769
105,25.97,Entertainment,103,123459978,20181105,4210653399308769
106,72.36,Education,31,123459978,20180825,4210653399308769
107,98.85,Test,25,123459978,20180802,4210653399308769
108,4.36,Grocery,10,123459978,20180707,4210653399308769
109,66.60,Test,107,123459978,20180513,4210653399308769
110,1.76,Education,24,123459978,20180321,4210653399308769
111,44.41,Grocery,57,123459978,20180507,4210653399308769
112,85.53,Gas,44,123459978,20180306,4210653399308769
113,89.90,Healthcare,80,123459978,20181113,4210653399308769
114,53.75,Healthcare,81,123459978,20181004,4210653399308769
115,30.87,Test,91,123459978,20180213,4210653399308769
116,86.53,Healthcare,79,123459978,20180210,4210653399308769
117,72.06,Healthcare,81,123459978,20180813,4210653399308769
118,21.96,Bills,166,123459978,20181216,4210653399308769
119,49.98,Entertainment,19,123459978,20181204,4210653399308769
120,13.91,Education,175,123459978,20180927,4210653399308769
121,9.05,Test,173,123459978,20181116,4210653399308769
122,40.33,Grocery,100,123459978,20180121,4210653399308769
123,14.72,Test,17,123459978,20180902,4210653399308769
124,95.30,Gas,178,123459978,20180914,4210653399308769
125,22.65,Entertainment,63,123459978,20180620,4210653399308769
126,100.28,Entertainment,156,123459978,20180211,4210653399308769
127,54.19,Gas,44,123459978,20181026,4210653399308769
128,100.57,Grocery,42,123459978,20181207,4210653399308769
129,10.84,Gas,175,123459978,20181001,4210653399308769
130,3.03,Entertainment,58,123459978,20180411,4210653399308769
131,27.58,Test,114,123459978,20180323,4210653399308769
132,37.92,Bills,90,123459978,20180915,4210653399308769
133,77.05,Bills,5,123459978,20180105,4210653399308769
134,26.17,Bills,51,123459978,20180227,4210653399308769
135,73.36,Education,51,123459978,20180925,4210653399308769
136,69.05,Gas,18,123459978,20181122,4210653399308769
